cat,date,des,done,duration,grp,id,name,prj,tags
Engineering,2023-05-22,,true,4:05,Personal,bcacc683-db89-4a4c-9bcc-024d651a29fc,Gemo,Navigation,mf-learning
Aesthetics,2023-04-20,,true,30m,Personal,74f8b136-6051-4c08-89c3-c3ea9e895117,Liebesfreud,Liebesfreud,
Operation,2023-03-01,,true,26m,Personal,0b125dcf-ef14-479b-918e-fd2c787a098d,Management,Management,
Engineering,2022-12-15,,true,14m,Personal,32b36648-aee6-4774-946c-08c44db29e34,Vue,Music,mf-learning
Operation,2022-12-30,,true,1:26,MFVN,b5c0a77a-a93d-4d98-a9b0-3c90b0997c96,Risk Gateway,mf-risk-gateway,
Operation,2022-12-13,,true,5m,MFVN,93d7cd23-a9b9-49b9-a65f-33db35dd1920,Update favicon,marketflow,
Operation,2023-02-28,,true,31m,MFVN,d5c148da-4992-4915-94c0-9d94f1c7fdf9,Sync call,marketflow,mf-com
Business,2023-02-01,,true,3m,MFVN,6052ef47-8dc4-4077-ad87-04c06a53956d,Business,mf-funnel,
Operation,2023-01-19,,true,10m,MFVN,542adfae-505c-49a4-8b0c-ce2644aa3d30,UI changes,marketflow,
Navigation,2023-04-04,,true,30m,Personal,e97a4742-9c62-4bbf-b537-43b26514f696,Read about google,Navigation,
Engineering,2022-1023-03,,true,0:10,Personal,21b562a5-185a-4afc-8af1-5fed5bad5023,RegEx,Regex,mf-learning
Engineering,2022-1023-25,,true,1:18,Personal,3e76b6cb-d9e8-4a01-b22c-144d5d3a4c9f,CS50 course,Web dev,mf-learning
Operation,2022-11-03,,true,35m,MFVN,21edc1d7-fe65-45f7-be58-c4cbbf963e67,Sign up page,Analytics,
Business,2022-11-02,,true,20m,Personal,2864696d-5e9d-4e2f-89ee-c9d3682b4562,Data analytics,Analytics,mf-learning
Operation,2023-02-09,,true,24m,Personal,3572f2e7-3ec7-448f-b793-3f69c359fab4,Management,mf-ids-vertical,
Engineering,2022-1023-26,,true,3:53,Personal,4f9d743a-6322-4a09-9b65-89d68051b938,CS50 course,marketflow,mf-learning
Operation,2023-02-10,,true,45m,MFVN,2c3482c5-b366-45dc-9273-0c4dec381c4f,Work with Kami,marketflow,
Cosmic Engine,2023-04-28,,true,15m,Personal,b0092dd6-ee75-4bea-90f9-9c6c4a01b025,Writing,Navigation,
Operation,2023-02-14,,true,15m,Personal,ada034ad-816d-487a-a3c6-0d6e3358a2fe,Set up scheduled lighting,mf-member-mgmt,
Navigation,2023-02-27,,true,9m,Personal,819b8a29-375c-4c40-8ce8-78ace1f97408,German,German,
Operation,2023-03-13,,true,47m,MFVN,0fda61df-7a11-4831-9c2e-a18ff91b43b3,Sync call,marketflow,mf-com
Operation,2022-12-13,,true,26m,MFVN,ab587e5e-99a7-4258-944c-f408f5f601ef,ID Screen Descriptor,marketflow,
